21:00:02 __main__ INFO: Volume filter enabled: min_24h_volume_usd = $5,000,000
21:00:03 __main__ INFO: Skipping binance:0G/USDT: 24h volume $906,505 < $5,000,000
21:00:03 __main__ INFO: Skipping binance:1000CAT/USDT: 24h volume $480,251 < $5,000,000
21:00:03 __main__ INFO: Skipping binance:1000CHEEMS/USDT: 24h volume $803,289 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:1000SATS/USDT: 24h volume $713,659 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:1INCH/USDT: 24h volume $346,051 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:1MBABYDOGE/USDT: 24h volume $548,630 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:2Z/USDT: 24h volume $235,297 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:A/USDT: 24h volume $552,426 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:A2Z/USDT: 24h volume $1,278,790 < $5,000,000
21:00:04 __main__ INFO: Skipping binance:AAVE/USDT: 24h volume $4,118,013 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ACE/USDT: 24h volume $537,258 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ACH/USDT: 24h volume $328,214 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ACM/USDT: 24h volume $222,383 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ACT/USDT: 24h volume $588,255 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ACX/USDT: 24h volume $579,049 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:ADX/USDT: 24h volume $604,380 < $5,000,000
21:00:05 __main__ INFO: Skipping binance:AEUR/USDT: 24h volume $25,074 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:AEVO/USDT: 24h volume $170,345 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:AGLD/USDT: 24h volume $683,500 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:AI/USDT: 24h volume $263,309 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:AIXBT/USDT: 24h volume $1,478,909 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:ALCX/USDT: 24h volume $577,335 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:ALGO/USDT: 24h volume $1,408,819 < $5,000,000
21:00:06 __main__ INFO: Skipping binance:ALICE/USDT: 24h volume $443,470 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:ALLO/USDT: 24h volume $594,579 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:ALPINE/USDT: 24h volume $309,609 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:ALT/USDT: 24h volume $549,954 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:AMP/USDT: 24h volume $653,641 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:ANIME/USDT: 24h volume $4,106,163 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:ANKR/USDT: 24h volume $3,836,129 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:APE/USDT: 24h volume $1,760,226 < $5,000,000
21:00:07 __main__ INFO: Skipping binance:API3/USDT: 24h volume $395,205 < $5,000,000
21:00:08 __main__ INFO: Skipping binance:AR/USDT: 24h volume $2,640,714 < $5,000,000
21:00:08 __main__ INFO: Skipping binance:ARDR/USDT: 24h volume $93,680 < $5,000,000
21:00:09 __main__ INFO: Skipping binance:ARK/USDT: 24h volume $68,304 < $5,000,000
21:00:09 __main__ INFO: Skipping binance:ARKM/USDT: 24h volume $1,518,455 < $5,000,000
21:00:09 __main__ INFO: Skipping binance:ARPA/USDT: 24h volume $197,986 < $5,000,000
21:00:10 __main__ INFO: Skipping binance:ASR/USDT: 24h volume $396,612 < $5,000,000
21:00:10 __main__ INFO: Skipping binance:ASTR/USDT: 24h volume $814,575 < $5,000,000
